id	Nome do aeroporto	Cod IATA	COD ICAO	Cidade	Pa°s	Latitude	Longetude	Altitude	Fuso hor†rio	DST	Continente/Cidade
2273	Chihhang Air Base	\N	RCQS	Taitung	Taiwan	22793100357055664	12118199920654297	121	8	U	Asia/Taipei
2274	Pingtung North Airport	PIF	RCSQ	Pingtung	Taiwan	22700199127197266	12048200225830078	97	8	U	Asia/Taipei
2275	Taipei Songshan Airport	TSA	RCSS	Taipei	Taiwan	25069400787353516	121552001953125	18	8	U	Asia/Taipei
2276	Taiwan Taoyuan International Airport	TPE	RCTP	Taipei	Taiwan	250777	121233002	106	8	U	Asia/Taipei
2277	Wang-an Airport	WOT	RCWA	Wang An	Taiwan	23367372512817383	11950277709960938	115	8	U	Asia/Taipei
2278	Hualien Airport	HUN	RCYU	Hualien	Taiwan	24023099899291992	12161799621582031	52	8	U	Asia/Taipei
2279	Narita International Airport	NRT	RJAA	Tokyo	Japan	357647018433	140386001587	141	9	U	Asia/Tokyo
2280	Matsumoto Airport	MMJ	RJAF	Matsumoto	Japan	3616680145263672	13792300415039062	2182	9	U	Asia/Tokyo
2281	Hyakuri Airport	IBR	RJAH	Ibaraki	Japan	36181098938	140414993286	105	9	U	Asia/Tokyo
2282	Minami Torishima Airport	MUS	RJAM	Minami Tori Shima	Japan	242896995544	153979003906	22	9	U	Asia/Tokyo
2283	Iwo Jima Airport	IWO	RJAW	Iwojima	Japan	24784000396728516	141322998046875	384	9	U	Asia/Tokyo
2284	Nanki Shirahama Airport	SHM	RJBD	Nanki-shirahama	Japan	336622009277	135363998413	298	9	U	Asia/Tokyo
2285	Kohnan Airport	\N	RJBK	Kohnan	Japan	3459080123901367	13393299865722656	3	9	U	Asia/Tokyo
2286	Tokachi-Obihiro Airport	OBO	RJCB	Obihiro	Japan	427332992554	143216995239	505	9	U	Asia/Tokyo
2287	New Chitose Airport	CTS	RJCC	Sapporo	Japan	4277519989013672	14169200134277344	82	9	U	Asia/Tokyo
2288	Hakodate Airport	HKD	RJCH	Hakodate	Japan	417700004578	140822006226	151	9	U	Asia/Tokyo
2289	Chitose Air Base	\N	RJCJ	Chitose	Japan	4279449844359999	141666000366	87	9	U	Asia/Tokyo
2290	Memanbetsu Airport	MMB	RJCM	Memanbetsu	Japan	438805999756	144164001465	135	9	U	Asia/Tokyo
2291	Nakashibetsu Airport	SHB	RJCN	Nakashibetsu	Japan	435774993896	144960006714	234	9	U	Asia/Tokyo
2293	Tokachi Airport	\N	RJCT	Tokachi	Japan	42890499114990234	1431580047607422	281	9	U	Asia/Tokyo
2294	Wakkanai Airport	WKJ	RJCW	Wakkanai	Japan	454042015076	141800994873	30	9	U	Asia/Tokyo
2295	Iki Airport	IKI	RJDB	Iki	Japan	337490005493	129785003662	41	9	U	Asia/Tokyo
2296	Yamaguchi Ube Airport	UBJ	RJDC	Yamaguchi	Japan	33930000305200004	131279006958	23	9	U	Asia/Tokyo
2297	Tsushima Airport	TSJ	RJDT	Tsushima	Japan	342849006653	129330993652	213	9	U	Asia/Tokyo
2298	Monbetsu Airport	MBE	RJEB	Monbetsu	Japan	44303901672399995	143404006958	80	9	U	Asia/Tokyo
2299	Asahikawa Airport	AKJ	RJEC	Asahikawa	Japan	43670799255371094	14244700622558594	721	9	U	Asia/Tokyo
2300	Okushiri Airport	OIR	RJEO	Okushiri	Japan	420717010498	139432998657	161	9	U	Asia/Tokyo
2301	Rishiri Airport	RIS	RJER	Rishiri Island	Japan	452420005798	141186004639	112	9	U	Asia/Tokyo
2302	Ashiya Airport	\N	RJFA	Ashiya	Japan	3388309860229492	1306529998779297	98	9	U	Asia/Tokyo
2303	Yakushima Airport	KUM	RJFC	Yakushima	Japan	303855991364	130658996582	124	9	U	Asia/Tokyo
2304	Fukue Airport	FUJ	RJFE	Fukue	Japan	3266630172729492	12883299255371094	273	9	U	Asia/Tokyo
2305	Fukuoka Airport	FUK	RJFF	Fukuoka	Japan	33585899353027344	1304510040283203	32	9	U	Asia/Tokyo
2306	New Tanegashima Airport	TNE	RJFG	Tanegashima	Japan	30605100631699997	130990997314	768	9	U	Asia/Tokyo
2307	Kagoshima Airport	KOJ	RJFK	Kagoshima	Japan	3180340003967285	130718994140625	906	9	U	Asia/Tokyo
2308	Miyazaki Airport	KMI	RJFM	Miyazaki	Japan	31877199173	131449005127	20	9	U	Asia/Tokyo
2309	Nyutabaru Airport	\N	RJFN	Nyutabaru	Japan	3208359909057617	1314510040283203	259	9	U	Asia/Tokyo
2310	Oita Airport	OIT	RJFO	Oita	Japan	33479400634799994	131736999512	19	9	U	Asia/Tokyo
2311	Kitaky?sh? Airport	KKJ	RJFR	Kitakyushu	Japan	338459014893	131035003662	21	9	U	Asia/Tokyo
2312	Kumamoto Airport	KMJ	RJFT	Kumamoto	Japan	3283729934692383	13085499572753906	642	9	U	Asia/Tokyo
2313	Nagasaki Airport	NGS	RJFU	Nagasaki	Japan	32916900634799994	129914001465	15	9	U	Asia/Tokyo
2314	Kanoya Airport	\N	RJFY	Kanoya	Japan	31367599487304688	13084500122070312	214	9	U	Asia/Tokyo
2315	Tsuiki Air Field	\N	RJFZ	Tsuiki	Japan	336850013733	131039993286	55	9	U	Asia/Tokyo
2316	Amami Airport	ASJ	RJKA	Amami	Japan	28430599212646484	12971299743652344	27	9	U	Asia/Tokyo
2317	Okierabu Airport	OKE	RJKB	Okierabu	Japan	274255008698	128701004028	101	9	U	Asia/Tokyo
2318	Tokunoshima Airport	TKN	RJKN	Tokunoshima	Japan	2783639907836914	12888099670410156	17	9	U	Asia/Tokyo
2319	Fukui Airport	FKJ	RJNF	Fukui	Japan	361427993774	136223999023	19	9	U	Asia/Tokyo
2320	Gifu Airport	QGU	RJNG	Gifu	Japan	35394100189208984	1368699951171875	128	9	U	Asia/Tokyo
2321	Hamamatsu Airport	\N	RJNH	Hamamatsu	Japan	3475019836425781	1377030029296875	150	9	U	Asia/Tokyo
2322	Komatsu Airport	KMQ	RJNK	Kanazawa	Japan	3639459991455078	13640699768066406	36	9	U	Asia/Tokyo
2323	Oki Airport	OKI	RJNO	Oki Island	Japan	3618109893798828	1333249969482422	311	9	U	Asia/Tokyo
2324	Toyama Airport	TOY	RJNT	Toyama	Japan	3664830017089844	13718800354003906	95	9	U	Asia/Tokyo
2325	Shizuhama Airport	\N	RJNY	Yaizu	Japan	34812801361083984	13829800415039062	23	9	U	Asia/Tokyo
2326	Hiroshima Airport	HIJ	RJOA	Hiroshima	Japan	344361000061	132919006348	1088	9	U	Asia/Tokyo
2327	Okayama Airport	OKJ	RJOB	Okayama	Japan	347569007874	133854995728	806	9	U	Asia/Tokyo
2328	Izumo Airport	IZO	RJOC	Izumo	Japan	354136009216	13288999939	15	9	U	Asia/Tokyo
2329	Hofu Airport	\N	RJOF	Hofu	Japan	34034698486328125	1315489959716797	7	9	U	Asia/Tokyo
2330	Miho Yonago Airport	YGJ	RJOH	Miho	Japan	354921989440918	13323599243164062	20	9	U	Asia/Tokyo
2332	K?chi Ry?ma Airport	KCZ	RJOK	Kochi	Japan	33546101	133669006	42	9	U	Asia/Tokyo
2333	Matsuyama Airport	MYJ	RJOM	Matsuyama	Japan	3382720184326172	1326999969482422	25	9	U	Asia/Tokyo
2334	Osaka International Airport	ITM	RJOO	Osaka	Japan	34785499572753906	13543800354003906	50	9	U	Asia/Tokyo
2335	Tottori Airport	TTJ	RJOR	Tottori	Japan	355301017761	134167007446	65	9	U	Asia/Tokyo
2336	Tokushima Airport/JMSDF Air Base	TKS	RJOS	Tokushima	Japan	34132801	134606995	26	9	U	Asia/Tokyo
2337	Takamatsu Airport	TAK	RJOT	Takamatsu	Japan	34214199066199996	13401600647	607	9	U	Asia/Tokyo
2338	Yao Airport	\N	RJOY	Osaka	Japan	3459629821777344	13560299682617188	39	9	U	Asia/Tokyo
2339	Ozuki Airport	\N	RJOZ	Ozuki	Japan	340452995300293	131052001953125	13	9	U	Asia/Tokyo
2340	Aomori Airport	AOJ	RJSA	Aomori	Japan	4073469924926758	1406909942626953	664	9	U	Asia/Tokyo
2341	Yamagata Airport	GAJ	RJSC	Yamagata	Japan	38411899566699994	140371002197	353	9	U	Asia/Tokyo
2342	Sado Airport	SDS	RJSD	Sado	Japan	380601997375	138414001465	88	9	U	Asia/Tokyo
2343	Hachinohe Airport	HHE	RJSH	Hachinoe	Japan	40556400299072266	14146600341796875	152	9	U	Asia/Tokyo
2344	Hanamaki Airport	HNA	RJSI	Hanamaki	Japan	394286003112793	14113499450683594	297	9	U	Asia/Tokyo
2345	Akita Airport	AXT	RJSK	Akita	Japan	396156005859375	140218994140625	313	9	U	Asia/Tokyo
2346	Misawa Air Base	MSJ	RJSM	Misawa	Japan	40703201293899994	141367996216	119	9	U	Asia/Tokyo
2347	Sendai Airport	SDJ	RJSS	Sendai	Japan	381397018433	140917007446	15	9	U	Asia/Tokyo
2348	Matsushima Air Base	\N	RJST	Matsushima	Japan	384048995972	141220001221	7	9	U	Asia/Tokyo
2350	Atsugi Naval Air Facility	NJA	RJTA	Atsugi	Japan	354546012878418	1394499969482422	205	9	U	Asia/Tokyo
2351	Tateyama Airport	\N	RJTE	Tateyama	Japan	34987099	139828995	10	9	U	Asia/Tokyo
2352	Hachijojima Airport	HAC	RJTH	Hachijojima	Japan	331150016785	139785995483	303	9	U	Asia/Tokyo
2353	Iruma Air Base	\N	RJTJ	Iruma	Japan	3584189987182617	13941099548339844	295	9	U	Asia/Tokyo
2354	Kisarazu Airport	\N	RJTK	Kisarazu	Japan	3539830017089844	13991000366210938	10	9	U	Asia/Tokyo
2355	Shimofusa Airport	\N	RJTL	Shimofusa	Japan	3579890060424805	14001100158691406	98	9	U	Asia/Tokyo
2356	Oshima Airport	OIM	RJTO	Oshima	Japan	34782001495399996	13936000061	130	9	U	Asia/Tokyo
2358	Kastner Army Heliport	\N	RJTR	Zama	Japan	355138015747	139393997192	360	9	U	Asia/Tokyo
2359	Tokyo Haneda International Airport	HND	RJTT	Tokyo	Japan	35552299	139779999	35	9	U	Asia/Tokyo
2360	Yokota Air Base	OKO	RJTY	Yokota	Japan	3574850082397461	13934800720214844	463	9	U	Asia/Tokyo
2361	Gwangju Airport	KWJ	RKJJ	Kwangju	South Korea	35123173	126805444	39	9	U	Asia/Seoul
2364	Jeon Ju Airport (G-703)	CHN	RKJU	Jhunju	South Korea	3587808	127119112	96	9	U	Asia/Seoul
2365	Yeosu Airport	RSU	RKJY	Yeosu	South Korea	3484230041503906	12761699676513672	53	9	U	Asia/Seoul
2366	Sokcho Airport	\N	RKND	Sokch'o	South Korea	38142601013183594	1285989990234375	92	9	U	Asia/Seoul
2367	Gangneung Airport (K-18)	KAG	RKNN	Kangnung	South Korea	37753601	128943915	35	9	U	Asia/Seoul
2370	Jeju International Airport	CJU	RKPC	Cheju	South Korea	3351129913330078	12649299621582031	118	9	U	Asia/Seoul
2371	Jinhae Airbase/Airport (G-813/K-10)	CHF	RKPE	Chinhae	South Korea	35140248	128696229	8	9	U	Asia/Seoul
2372	Gimhae International Airport	PUS	RKPK	Busan	South Korea	351795005798	12893800354	6	9	U	Asia/Seoul
2374	Ulsan Airport	USN	RKPU	Ulsan	South Korea	3559349823	129352005005	45	9	U	Asia/Seoul
2375	A 511 Airport	\N	RKSG	Pyongtaek	South Korea	3696220016479492	12703099822998047	51	9	U	Asia/Seoul
2376	Seoul Air Base (K-16)	SSN	RKSM	Seoul East	South Korea	37444744	127112718	92	9	U	Asia/Seoul
2377	Osan Air Base	OSN	RKSO	Osan	South Korea	37090599	127029999	38	9	U	Asia/Seoul
2378	Gimpo International Airport	GMP	RKSS	Seoul	South Korea	375583	126791	59	9	U	Asia/Seoul
2379	Suwon Airport	SWU	RKSW	Suwon	South Korea	3723939895629883	12700700378417969	88	9	U	Asia/Seoul
2380	Pohang Airport (G-815/K-3)	KPO	RKTH	Pohang	South Korea	35987955	129420383	70	9	U	Asia/Seoul
2381	Daegu Airport	TAE	RKTN	Taegu	South Korea	35896872	12865531	116	9	U	Asia/Seoul
2383	Yecheon Airbase	YEC	RKTY	Yechon	South Korea	36630373	12834971	354	9	U	Asia/Seoul
2384	Naha Airport	OKA	ROAH	Okinawa	Japan	261958007812	127646003723	12	9	N	Asia/Tokyo
2385	Ie Shima Auxiliary Air Base	\N	RODE	Iejima	Japan	26725757598876953	12776490020751953	184	9	U	Asia/Tokyo
2386	Kadena Air Base	DNA	RODN	Kadena	Japan	263556	127767998	143	9	U	Asia/Tokyo
2387	New Ishigaki Airport	ISG	ROIG	Ishigaki	Japan	24396389	124245	102	9	U	Asia/Tokyo
2388	Kumejima Airport	UEO	ROKJ	Kumejima	Japan	26363500595092773	12671399688720703	23	9	U	Asia/Tokyo
2389	Minami-Daito Airport	MMD	ROMD	Minami Daito	Japan	258465003967	131263000488	167	9	U	Asia/Tokyo
2390	Miyako Airport	MMY	ROMY	Miyako	Japan	24782800674399997	125294998169	150	9	U	Asia/Tokyo
2391	Kitadaito Airport	KTD	RORK	Kitadaito	Japan	259447002411	13132699585	80	9	U	Asia/Tokyo
2392	Shimojishima Airport	SHI	RORS	Shimojishima	Japan	248267002106	125144996643	54	9	U	Asia/Tokyo
2393	Tarama Airport	TRA	RORT	Tarama	Japan	24653900146499996	124675003052	36	9	U	Asia/Tokyo
2394	Yoron Airport	RNJ	RORY	Yoron	Japan	270440006256	128401992798	52	9	U	Asia/Tokyo
2395	Futenma Marine Corps Air Station	\N	ROTM	Futema	Japan	2627429962158203	12775599670410156	247	9	U	Asia/Tokyo
2396	Yonaguni Airport	OGN	ROYN	Yonaguni Jima	Japan	24466899871826172	12297799682617188	70	9	U	Asia/Tokyo
2397	Ninoy Aquino International Airport	MNL	RPLL	Manila	Philippines	145086	121019997	75	8	N	Asia/Manila
2399	Awang Airport	CBO	RPMC	Cotabato	Philippines	71652398109436035	12420999908447266	189	8	N	Asia/Manila
2400	Cagayan De Oro Airport	\N	RPML	Ladag	Philippines	841562	124611	601	8	N	Asia/Manila
2401	Pagadian Airport	PAG	RPMP	Pagadian	Philippines	783073144787	123461179733	5	8	N	Asia/Manila
2402	General Santos International Airport	GES	RPMR	Romblon	Philippines	605800008774	125096000671	505	8	N	Asia/Manila
2404	Zamboanga International Airport	ZAM	RPMZ	Zamboanga	Philippines	6922420024871826	12205999755859375	33	8	N	Asia/Manila
2405	Loakan Airport	BAG	RPUB	Baguio	Philippines	16375099182128906	12062000274658203	4251	8	N	Asia/Manila
2406	Daet Airport	DTE	RPUD	Daet	Philippines	14129199981689453	1229800033569336	10	8	N	Asia/Manila
2407	Basa Air Base	\N	RPUF	Floridablanca	Philippines	1498724	120492554	151	8	N	Asia/Manila
2408	Lingayen Airport	\N	RPUG	Lingayen	Philippines	16034799575805664	12024099731445312	7	8	N	Asia/Manila
2409	San Jose Airport	SJI	RPUH	San Jose	Philippines	12361499786399998	12104699707	14	8	N	Asia/Manila
2410	Fernando Air Base	\N	RPUL	Lipa	Philippines	13954999923706055	121125	1220	8	N	Asia/Manila
2411	Mamburao Airport	MBO	RPUM	Mamburao	Philippines	13208100318908691	1206050033569336	13	8	N	Asia/Manila
2414	Vigan Airport	\N	RPUQ	Vigan	Philippines	17555299758911133	12035600280761719	16	8	N	Asia/Manila
2415	Dr.Juan C. Angara Airport	BQA	RPUR	Baler	Philippines	15729309	121500034	108	8	N	Asia/Manila
2421	Bagabag Airport	\N	RPUZ	Bagabag	Philippines	166192	121251999	820	8	N	Asia/Manila
2422	Daniel Z. Romualdez Airport	TAC	RPVA	Tacloban	Philippines	11228035	125027761	10	8	N	Asia/Manila
2423	Bacolod-Silay Airport	BCD	RPVB	Bacolod	Philippines	107764	123014999	82	8	N	Asia/Manila
2425	Sibulan Airport	DGT	RPVD	Dumaguete	Philippines	93337097168	123300003052	15	8	N	Asia/Manila
2426	Godofredo P. Ramos Airport	MPH	RPVE	Caticlan	Philippines	119245	121954002	7	8	N	Asia/Manila
2428	Guiuan Airport	\N	RPVG	Guiuan	Philippines	110354995728	125741996765	7	8	N	Asia/Manila
2429	Iloilo International Airport	ILO	RPVI	Iloilo	Philippines	10833017	122493358	27	8	N	Asia/Manila
2430	Kalibo International Airport	KLO	RPVK	Kalibo	Philippines	11679400444	122375999451	14	8	N	Asia/Manila
2433	Puerto Princesa Airport	PPS	RPVP	Puerto Princesa	Philippines	9742119789123535	11875900268554688	71	8	N	Asia/Manila
2435	Evelio Javier Airport	EUQ	RPVS	San Jose	Philippines	10765999794	121932998657	23	8	N	Asia/Manila
2436	Comodoro Pierrestegui Airport	COC	SAAC	Concordia	Argentina	-312969	-579966	112	-3	N	America/Cordoba
2437	Gualeguaychu Airport	GHU	SAAG	Gualeguaychu	Argentina	-330103	-586131	75	-3	N	America/Cordoba
2438	Junin Airport	JNI	SAAJ	Junin	Argentina	-345459	-609306	262	-3	N	America/Buenos_Aires
2439	General Urquiza Airport	PRA	SAAP	Parana	Argentina	-317948	-604804	242	-3	N	America/Cordoba
2440	Islas Malvinas Airport	ROS	SAAR	Rosario	Argentina	-329036	-60785	85	-3	N	America/Cordoba
2441	Sauce Viejo Airport	SFN	SAAV	Santa Fe	Argentina	-317117	-608117	55	-3	N	America/Cordoba
2442	Jorge Newbery Airpark	AEP	SABE	Buenos Aires	Argentina	-345592	-584156	18	-3	N	America/Buenos_Aires
2443	Ingeniero Ambrosio Taravella Airport	COR	SACO	Cordoba	Argentina	-31323601	-64208	1604	-3	N	America/Cordoba
2444	Chamical Airport	\N	SACT	Gobernador Gordillo	Argentina	-3034530067	-6629360198	1502	-3	N	America/Argentina/La_Rioja
2445	San Fernando Airport	FDO	SADF	San Fernando	Argentina	-344532	-585896	10	-3	N	America/Buenos_Aires
2446	Mariano Moreno Airport	\N	SADJ	Jose C. Paz	Argentina	-345606	-587896	105	-3	N	America/Buenos_Aires
2447	La Plata Airport	LPG	SADL	La Plata	Argentina	-349722	-578947	72	-3	N	America/Buenos_Aires
2448	Moron Airport	\N	SADM	Moron	Argentina	-346763	-586428	95	-3	N	America/Buenos_Aires
2449	El Palomar Airport	EPA	SADP	El Palomar	Argentina	-346099	-586126	59	-3	N	America/Buenos_Aires
2450	Chos Malal Airport	HOS	SAHC	Chosmadal	Argentina	-37444698333699996	-702225036621	2788	-3	N	America/Argentina/Salta
2451	Dr. Arturo H. Illia Airport	GNR	SAHR	Fuerte Gral Roca	Argentina	-390007019043	-676204986572	852	-3	N	America/Argentina/Salta
2452	El Plumerillo Airport	MDZ	SAME	Mendoza	Argentina	-328316993713	-687929000854	2310	-3	N	America/Mendoza
2453	Comodoro D.R. Salom¢n Airport	LGS	SAMM	Malargue	Argentina	-35493598938	-695743026733	4685	-3	N	America/Mendoza
2454	Suboficial Ay Santiago Germano Airport	AFA	SAMR	San Rafael	Argentina	-34588299	-684039	2470	-3	N	America/Mendoza
2455	Catamarca Airport	CTC	SANC	Catamarca	Argentina	-285956001282	-65751701355	1522	-3	N	America/Catamarca
2456	Vicecomodoro Angel D. La Paz AragonÇs Airport	SDE	SANE	Santiago Del Estero	Argentina	-27765556335399996	-643099975586	656	-3	N	America/Cordoba
2457	Tinogasta Airport	\N	SANI	Tinogasta	Argentina	-280377998352	-675802993774	3968	-3	N	America/Catamarca
2458	Capitan V A Almonacid Airport	IRJ	SANL	La Rioja	Argentina	-293815994263	-667957992554	1437	-3	N	America/Argentina/La_Rioja
2459	Chilecito Airport	\N	SANO	Chilecito	Argentina	-292238998413	-674389038086	3099	-3	N	America/Argentina/La_Rioja
2460	Teniente Benjamin Matienzo Airport	TUC	SANT	Tucuman	Argentina	-268409	-65104897	1493	-3	N	America/Argentina/Tucuman
2461	Domingo Faustino Sarmiento Airport	UAQ	SANU	San Juan	Argentina	-31571501	-68418198	1958	-3	N	America/Argentina/San_Juan
2462	Area De Material Airport	RCU	SAOC	Rio Cuarto	Argentina	-330850982666	-642612991333	1380	-3	N	America/Cordoba
2463	Villa Dolores Airport	VDR	SAOD	Villa Dolores	Argentina	-319451999664	-651463012695	1847	-3	N	America/Cordoba
2464	La Quiaca Airport	\N	SAOL	Laboulaye	Argentina	-221506004333	-6557749938959999	11414	-3	N	America/Jujuy
2465	Marcos Juarez Airport	\N	SAOM	Marcos Juarez	Argentina	-326836	-62157801	360	-3	N	America/Cordoba
2466	Villa Reynolds Airport	VME	SAOR	Villa Reynolds	Argentina	-337299003601	-653873977661	1591	-3	N	America/Argentina/San_Luis
2467	Brigadier Mayor D Cesar Raul Ojeda Airport	LUQ	SAOU	San Luis	Argentina	-332732009888	-663563995361	2328	-3	N	America/Argentina/San_Luis
2468	Corrientes Airport	CNQ	SARC	Corrientes	Argentina	-274455	-587619	202	-3	N	America/Cordoba
2469	Resistencia International Airport	RES	SARE	Resistencia	Argentina	-2745	-590561	173	-3	N	America/Cordoba
2470	Formosa Airport	FMA	SARF	Formosa	Argentina	-262127	-582281	193	-3	N	America/Cordoba
2471	Cataratas Del Iguaz£ International Airport	IGR	SARI	Iguazu Falls	Argentina	-25737301	-544734	916	-3	N	America/Cordoba
2472	Paso De Los Libres Airport	AOL	SARL	Paso De Los Libres	Argentina	-296894	-571521	230	-3	N	America/Cordoba
2473	Monte Caseros Airport	MCS	SARM	Monte Caseros	Argentina	-302719	-576402	170	-3	N	America/Cordoba
2474	Libertador Gral D Jose De San Martin Airport	PSS	SARP	Posadas	Argentina	-273858	-559707	430	-3	N	America/Cordoba
2475	Termal Airport	PRQ	SARS	Presidencia R.s.pena	Argentina	-26753611	-60492222	308	-3	N	America/Cordoba
2476	Martin Miguel De Guemes International Airport	SLA	SASA	Salta	Argentina	-24856000900299996	-654861984253	4088	-3	N	America/Argentina/Salta
2477	Gobernador Horacio Guzman International Airport	JUJ	SASJ	Jujuy	Argentina	-24392799	-65097801	3019	-3	N	America/Jujuy
2478	Or†n Airport	ORA	SASO	Oran	Argentina	-231527996063	-643292007446	1171	-3	N	America/Argentina/Salta
2479	Laboulaye Airport	\N	SASQ	La Quiaca	Argentina	-341353988647	-6336230087279999	449	-3	N	America/Cordoba
2481	El Dorado Airport	ELO	SATD	El Dorado	Argentina	-263974990845	-545746994019	685	-3	N	America/Cordoba
2482	Goya Airport	OYA	SATG	Goya	Argentina	-291058	-592189	128	-3	N	America/Cordoba
2483	Ober† Airport	\N	SATO	Obera	Argentina	-275181999207	-551241989136	1125	-3	N	America/Cordoba
2484	Reconquista Airport	RCQ	SATR	Reconquista	Argentina	-292103	-5968	160	-3	N	America/Cordoba
2485	Curuzu Cuatia Airport	UZU	SATU	Curuzu Cuatia	Argentina	-297706	-579789	229	-3	N	America/Cordoba
2486	El Bolson Airport	EHL	SAVB	El Bolson	Argentina	-419431991577	-715323028564	1141	-3	N	America/Argentina/Salta
2487	General E. Mosconi Airport	CRD	SAVC	Comodoro Rivadavia	Argentina	-457853	-674655	189	-3	N	America/Catamarca
2488	Brigadier Antonio Parodi Airport	EQS	SAVE	Esquel	Argentina	-42908000946	-71139503479	2621	-3	N	America/Catamarca
2490	Almirante Marco Andres Zar Airport	REL	SAVT	Trelew	Argentina	-432105	-652703	141	-3	N	America/Catamarca
2491	Gobernador Castello Airport	VDM	SAVV	Viedma	Argentina	-408692	-630004	20	-3	N	America/Argentina/Salta
2492	El Tehuelche Airport	PMY	SAVY	Puerto Madryn	Argentina	-427592	-651027	427	-3	N	America/Catamarca
2493	Marambio Base	\N	SAWB	Marambio Base	Antarctica	-642382965088	-566307983398	760	12	U	Antarctica/South_Pole
2494	Puerto Deseado Airport	PUD	SAWD	Puerto Deseado	Argentina	-477353	-659041	268	-3	N	America/Argentina/Rio_Gallegos
2495	Hermes Quijada International Airport	RGA	SAWE	Rio Grande	Argentina	-537777	-677494	65	-3	N	America/Argentina/Ushuaia
2496	Piloto Civil N. Fern†ndez Airport	RGL	SAWG	Rio Gallegos	Argentina	-516089	-693126	61	-3	N	America/Argentina/Rio_Gallegos
2497	Malvinas Argentinas Airport	USH	SAWH	Ushuaia	Argentina	-548433	-682958	102	-3	N	America/Argentina/Ushuaia
2498	Capitan D Daniel Vazquez Airport	ULA	SAWJ	San Julian	Argentina	-493068	-678026	203	-3	N	America/Argentina/Rio_Gallegos
2499	Perito Moreno Airport	PMQ	SAWP	Perito Moreno	Argentina	-46537899	-70978699	1410	-3	N	America/Argentina/Rio_Gallegos
2500	Santa Cruz Airport	RZA	SAWU	Santa Cruz	Argentina	-500165	-685792	364	-3	N	America/Argentina/Rio_Gallegos
2501	Comandante Espora Airport	BHI	SAZB	Bahia Blanca	Argentina	-38725	-621693	246	-3	N	America/Buenos_Aires
2502	Brigadier D.H.E. Ruiz Airport	CSZ	SAZC	Colonel Suarez	Argentina	-37446098	-61889301	767	-3	N	America/Buenos_Aires
2503	Olavarria Airport	OVR	SAZF	Olavarria	Argentina	-368899993896	-60216598510699995	551	-3	N	America/Buenos_Aires
2504	General Pico Airport	GPO	SAZG	General Pico	Argentina	-356962013245	-637583007812	459	-3	N	America/Argentina/Salta
2505	Tres Arroyos Airport	OYO	SAZH	Tres Arroyos	Argentina	-383869	-603297	400	-3	N	America/Buenos_Aires
2506	Bolivar Airport	\N	SAZI	Bolivar	Argentina	-361866	-610764	308	-3	N	America/Buenos_Aires
2508	µstor Piazzola International Airport	MDQ	SAZM	Mar Del Plata	Argentina	-379342	-575733	72	-3	N	America/Buenos_Aires
2509	Presidente Peron Airport	NQN	SAZN	Neuquen	Argentina	-38949001	-68155701	895	-3	N	America/Argentina/Salta
2511	Comodoro Pedro Zanni Airport	PEH	SAZP	Pehuajo	Argentina	-358446	-618576	278	-3	N	America/Buenos_Aires
2512	Santa Rosa Airport	RSA	SAZR	Santa Rosa	Argentina	-36588299	-64275703	630	-3	N	America/Argentina/Salta
2513	San Carlos De Bariloche Airport	BRC	SAZS	San Carlos De Bariloche	Argentina	-41151199	-71157501	2774	-3	N	America/Argentina/Salta
2514	HÇroes De Malvinas Airport	TDL	SAZT	Tandil	Argentina	-372374000549	-592279014587	574	-3	N	America/Buenos_Aires
2515	Villa Gesell Airport	VLG	SAZV	Villa Gesell	Argentina	-372354	-570292	32	-3	N	America/Buenos_Aires
2516	Cutral-Co Airport	CUT	SAZW	Cutralco	Argentina	-38939701080300004	-692646026611	2132	-3	N	America/Argentina/Salta
2517	Aviador C. Campos Airport	CPC	SAZY	San Martin Des Andes	Argentina	-40075401	-71137299	2569	-3	N	America/Argentina/Salta
2518	Conceiá∆o do Araguaia Airport	CDJ	SBAA	Conceicao Do Araguaia	Brazil	-8348349571228027	-4930149841308594	653	-3	S	America/Belem
2519	Campo DÇlio Jardim de Mattos Airport	\N	SBAF	Rio De Janeiro	Brazil	-22875099	-43384701	110	-3	S	America/Sao_Paulo
2520	Amap† Airport	\N	SBAM	Amapa	Brazil	207751	-508582	45	-3	S	America/Fortaleza
2521	Araraquara Airport	AQA	SBAQ	Araracuara	Brazil	-21812000274699997	-481329994202	2334	-3	S	America/Sao_Paulo
2522	Santa Maria Airport	AJU	SBAR	Aracaju	Brazil	-10984000206	-370703010559	23	-3	S	America/Fortaleza
2524	Piloto Osvaldo Marques Dias Airport	AFL	SBAT	Alta Floresta	Brazil	-98663892746	-561049995422	948	-4	S	America/Campo_Grande
2525	Araáatuba Airport	ARU	SBAU	Aracatuba	Brazil	-211413002014	-504247016907	1361	-3	S	America/Sao_Paulo
2526	Val de Cans/J£lio Cezar Ribeiro International Airport	BEL	SBBE	Belem	Brazil	-13792500495900002	-484762992859	54	-3	S	America/Belem
2527	Comandante Gustavo Kraemer Airport	BGX	SBBG	Bage	Brazil	-3139049911499	-54112201690674	600	-3	S	America/Sao_Paulo
2528	Pampulha - Carlos Drummond de Andrade Airport	PLU	SBBH	Belo Horizonte	Brazil	-19851200103759766	-43950599670410156	2589	-3	S	America/Sao_Paulo
